fid_num,src_file,subject,protocol,tr_ms,te_ms,x_ppm,x_hz,re_spect,im_spect,x_time_ms,re_fid,im_fid
0,"ANON_STEAM_8513638497563320.dcm","ANON_3347829384","VL_SPEC_T2_TE54",9000.00,54.00,16.101,1405.273,8.109781e+03,2.457710e+04,0.0000,4.029912e+04,-0.000000e+00
0,"ANON_STEAM_8513638497563320.dcm","ANON_3347829384","VL_SPEC_T2_TE54",9000.00,54.00,16.093,1404.297,1.188669e+04,-1.044184e+04,0.0005,4.305904e+04,-2.882025e+04
0,"ANON_STEAM_8513638497563320.dcm","ANON_3347829384","VL_SPEC_T2_TE54",9000.00,54.00,16.085,1403.320,1.187472e+04,-1.215150e+04,0.0010,-2.673803e+03,-2.491837e+04
0,"ANON_STEAM_8513638497563320.dcm","ANON_3347829384","VL_SPEC_T2_TE54",9000.00,54.00,16.077,1402.344,1.272291e+04,-8.598094e+03,0.0015,-5.772230e+03,1.305144e+04
0,"ANON_STEAM_8513638497563320.dcm","ANON_3347829384","VL_SPEC_T2_TE54",9000.00,54.00,16.069,1401.367,1.260050e+04,-8.543125e+03,0.0020,2.196058e+04,2.903380e+04
0,"ANON_STEAM_8513638497563320.dcm","ANON_3347829384","VL_SPEC_T2_TE54",9000.00,54.00,16.061,1400.391,1.564200e+04,-9.902539e+03,0.0025,4.662272e+04,5.298813e+03
0,"ANON_STEAM_8513638497563320.dcm","ANON_3347829384","VL_SPEC_T2_TE54",9000.00,54.00,16.053,1399.414,1.320412e+04,-8.386203e+03,0.0030,2.788330e+04,-2.224176e+04
0,"ANON_STEAM_8513638497563320.dcm","ANON_3347829384","VL_SPEC_T2_TE54",9000.00,54.00,16.046,1398.438,1.424147e+04,-9.383844e+03,0.0035,-3.469029e+02,-1.463135e+04
0,"ANON_STEAM_8513638497563320.dcm","ANON_3347829384","VL_SPEC_T2_TE54",9000.00,54.00,16.038,1397.461,1.348766e+04,-9.635422e+03,0.0040,-2.850603e+03,1.324801e+04
0,"ANON_STEAM_8513638497563320.dcm","ANON_3347829384","VL_SPEC_T2_TE54",9000.00,54.00,16.030,1396.484,1.371636e+04,-7.952281e+03,0.0045,2.349891e+04,2.034236e+04
0,"ANON_STEAM_8513638497563320.dcm","ANON_3347829384","VL_SPEC_T2_TE54",9000.00,54.00,16.022,1395.508,1.451048e+04,-1.290612e+04,0.0050,3.497930e+04,-2.197519e+03
0,"ANON_STEAM_8513638497563320.dcm","ANON_3347829384","VL_SPEC_T2_TE54",9000.00,54.00,16.014,1394.531,1.352841e+04,-1.068709e+04,0.0055,1.843746e+04,-2.059441e+04
